1,0,0.23
1,1,0.8
2,0,2.98
2,1,3.19
3,0,0.25
3,1,2.09
4,0,2.6
4,1,3.35
5,0,0.58
5,1,0.82
6,0,4.54
6,1,2.06
7,0,4.94
7,1,1.39
8,0,2.61
8,1,4.38
9,0,1.49
9,1,4.3
10,0,4.17
10,1,3.79
11,0,4.94
11,1,1.39
12,0,4.96
12,1,2.08
13,0,3.55
13,1,4.47
14,0,0.49
14,1,1.2
15,0,2.17
15,1,2.56
16,0,3.56
16,1,3.88
17,0,2.02
17,1,0.76
18,0,2.47
18,1,4.91
19,0,3.5
19,1,1.7
20,0,1.42
20,1,3.06
21,0,3.24
21,1,4.74
22,0,3.61
22,1,3.38
23,0,3.68
23,1,3.9
24,0,1.41
24,1,3.75
25,0,4.32
25,1,3.03
26,0,4.68
26,1,2.74
27,0,1.94
27,1,1.19
28,0,1.8
28,1,2.36
29,0,4.05
29,1,4.05
30,0,1.88
30,1,1.82
31,0,0.48
31,1,4.98
32,0,4.63
32,1,1.51
33,0,4.87
33,1,4.03
34,0,0.6
34,1,1.71
35,0,4.38
35,1,3.02
36,0,1.82
36,1,3.37
37,0,0.97
37,1,4.02
38,0,3.62
38,1,3.14
39,0,4.37
39,1,4.18
40,0,3.65
40,1,4.66
41,0,2.34
41,1,1.25
42,0,2.75
42,1,3.21
43,0,3.87
43,1,2.97
44,0,0.82
44,1,0.24
45,0,2.22
45,1,2.6
46,0,0.48
46,1,0.68
47,0,1.55
47,1,3.22
48,0,0.33
48,1,2.05
49,0,1.56
49,1,0.26
50,0,1.57
50,1,2
51,0,2.38
51,1,3.07
52,0,3.38
52,1,3.72
53,0,1.52
53,1,0.76
54,0,4.13
54,1,3.47
55,0,1.79
55,1,1.91
56,0,4.25
56,1,3.09
57,0,1.15
57,1,2.76
58,0,2.05
58,1,4.41
59,0,4.16
59,1,2.42
60,0,2.3
60,1,3.09
61,0,0.34
61,1,1.47
62,0,1.31
62,1,3.09
63,0,0.92
63,1,3.17
64,0,2.06
64,1,3.53
65,0,1.89
65,1,1.67
66,0,4.9
66,1,3.81
67,0,3.02
67,1,4.87
68,0,4.9
68,1,1.11
69,0,1.07
69,1,0.52
70,0,0.81
70,1,1.46
71,0,4.89
71,1,1.12
72,0,3.21
72,1,2.78
73,0,3.54
73,1,2
74,0,4.03
74,1,2.36
75,0,3.9
75,1,1.12
76,0,0.21
76,1,4.44
77,0,0.29
77,1,4.32
78,0,0.29
78,1,4.82
79,0,1.78
79,1,0.31
80,0,2.93
80,1,0.85
81,0,4.27
81,1,3.09
82,0,3.28
82,1,2.31
83,0,4.2
83,1,4.28
84,0,3.13
84,1,2.97
85,0,0.73
85,1,4.72
86,0,1.86
86,1,0.1
87,0,2.59
87,1,4.66
88,0,0.01
88,1,1.75
89,0,2.91
89,1,1.55
90,0,3.54
90,1,2.29
91,0,0.19
91,1,3.22
92,0,3.07
92,1,0.06
93,0,3.61
93,1,4.02
94,0,4.45
94,1,4.78
95,0,4.66
95,1,3.46
96,0,3.85
96,1,0.06
97,0,2.02
97,1,3.72
98,0,4.76
98,1,2.73
99,0,3
99,1,2.39
100,0,3.46
100,1,1.79
101,0,2.05
101,1,3.12
102,0,2.81
102,1,4.99
103,0,3.64
103,1,4.26
104,0,3.86
104,1,1.59
105,0,0.94
105,1,0.67
106,0,3.8
106,1,1.57
107,0,0.53
107,1,2.84
108,0,4.75
108,1,1.78
109,0,4.16
109,1,0.94
110,0,3.49
110,1,4.68
111,0,3.88
111,1,0.67
112,0,3.71
112,1,1.8
113,0,0.56
113,1,3.39
114,0,1.02
114,1,4.95
115,0,3.46
115,1,1.75
116,0,4.94
116,1,0.18
117,0,3.41
117,1,2.55
118,0,3.61
118,1,2.63
119,0,2.71
119,1,0.2
120,0,4.38
120,1,1.4
121,0,0.88
121,1,3.09
122,0,3.75
122,1,2.96
123,0,4.35
123,1,0.02
124,0,4.38
124,1,0.78
125,0,1.41
125,1,2.99
126,0,3.63
126,1,3.48
127,0,0.1
127,1,4.32
128,0,3.84
128,1,4.22
129,0,4.86
129,1,3.61
130,0,0.28
130,1,1.56
131,0,4.86
131,1,2.43
132,0,4.43
132,1,1.85
133,0,3.68
133,1,1.2
134,0,0.85
134,1,1.85
135,0,2.03
135,1,4.59
136,0,2.69
136,1,3.21
137,0,2.94
137,1,0.96
138,0,2.77
138,1,2.96
139,0,3.28
139,1,3.26
140,0,0.07
140,1,3.56
141,0,3.44
141,1,2.4
142,0,1.11
142,1,3.51
143,0,2.91
143,1,2.07
144,0,2.17
144,1,1.12
145,0,2.5
145,1,3.79
146,0,1.92
146,1,2.5
147,0,3.39
147,1,0.23
148,0,3.6
148,1,1.32
149,0,3.28
149,1,4.14
150,0,2.71
150,1,2.47
151,0,4.82
151,1,3.52
152,0,4.24
152,1,0.23
153,0,0.27
153,1,1.43
154,0,2.99
154,1,2.35
155,0,3.56
155,1,0.27
156,0,4.02
156,1,0.11
157,0,1.1
157,1,4.73
158,0,4.89
158,1,3.26
159,0,4.43
159,1,4.77
160,0,3.25
160,1,2.05
161,0,1.32
161,1,4.29
162,0,0.11
162,1,2.59
163,0,1.31
163,1,4.04
164,0,2.6
164,1,4.61
165,0,4.51
165,1,0.78
166,0,0.75
